ABBV
ADT
ALLE
BXLT
CPGX
CSRA
DLPH
FB
GM
HCA
HPE
KMI
KHC
LYB
MNK
MPC
WRK
KORS
NAVI
NWSA
NWS
NLSN
PYPL
PSX
CFG
QRVO
SYF
TRIP
WLTW
XYL
ZTS
